id,ap,an,dev,cat,nod,doa,dsl,ppl,valid
1,com.passportsizephoto.passportphotomaker,Passport Size Photo Maker,Pixels Dev Studio,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.passportsizephoto.passportphotomaker,https://pixelsdevphotoapps.blogspot.com/p/privacy-policy.html,1
2,com.wedding.weddinginvitation,Wedding Invitation Card Maker,Nilesh Jain,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.wedding.weddinginvitation,https://sites.google.com/view/nilesh-privacy/privacy-policy,1
3,com.weloveapps.latindating,"Latin Dating - Flirt, Meeting,",WeLoveApps,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.weloveapps.latindating,https://dating-app.weloveapps.org/web/rules/policies,1
4,com.splento.food,Splento: Food Photography,Splento,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.splento.food,https://www.splento.com/terms/privacy,1
5,fiori.transgender,Fiorry: Transgender Dating,Fiorry Social Ltd,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=fiori.transgender,https://fiorry.co/privacy-policy,1
6,com.devlobis.goodmorninglove,Good Morning My Love Gif,Devlobis,Dating,10K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.devlobis.goodmorninglove,https://sites.google.com/view/devlobisapps/privacy-policy,1
7,com.sweetringplus.android,"SweetRing - Meet, Match, Date",SweetRing,Dating,5M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.sweetringplus.android,https://www.sweetring.com/rules/app/rules_privacy_policy_m.php?locale=en_US,1
8,com.ram.birthdayphotoframes,Birthday Photo Frames,RamkumarApps,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.ram.birthdayphotoframes,https://ramkumarapps.blogspot.com/2022/07/ramkumar-apps-privacy-policy.html,1
9,com.jazzyworlds.photopixel,Photo Pixel Shattering Effect,Jazzy Worlds,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.jazzyworlds.photopixel,https://sites.google.com/view/jazzyworld,1
10,com.ram.lovephotoframes,Love Photo Frames,RamkumarApps,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.ram.lovephotoframes,https://ramkumarapps.blogspot.com/2022/07/ramkumar-apps-privacy-policy.html,1
11,com.jazzyworlds.paintandsketcheffect,Photo Paint & Sketch Effect,Jazzy Worlds,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.jazzyworlds.paintandsketcheffect,https://sites.google.com/view/jazzyworld,1
12,com.km.photogridbuilder,Picture Grid Builder,Dexati,Photography,10M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.km.photogridbuilder,http://www.dexati.com/privacy2android.html,1
13,com.aimdate.thaiflirting,ThaiFlirting - Thai Dating,AimDate LLC,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.aimdate.thaiflirting,https://thaiflirting.com/page/privacy-policy,1
14,com.etoolkit.photoeditor,FitPix - Photo Editor,eToolkit Inc,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.etoolkit.photoeditor,https://fitpix.app/privacy-policy.html,1
