id,ap,an,dev,cat,nod,doa,dsl,ppl,valid
1,com.mvltrapps.gardentransparentphotoframes,Garden Photo Mixer / blender,MVLTR Apps,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.mvltrapps.gardentransparentphotoframes,https://mvltrapps.com/privacy-policy.php,1
2,com.schmoozeapps.schmooze,Schmooze:Meme-based dating app,Ranga Media Inc.,Dating,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.schmoozeapps.schmooze,https://privacy-policy.schmooze.tech/,1
3,com.hookup.dating.bbw.wink,BBW Dating Hookup App: BBWink,Hookup Apps to Hook up Local Dating,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.hookup.dating.bbw.wink,http://www.bbwinkdating.com/privacy.html,1
4,com.august15Photoeditor.photoeditor.ly,Republic Day Photo Editor,Photo Editor.ly,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.august15Photoeditor.photoeditor.ly,https://photoeditorly.blogspot.com/2018/11/photo-editor.html,1
5,com.agegap.gaper,Video Chat & Dating App: Gaper,Hookup & Dating App - Gaper,Dating,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.agegap.gaper,https://gaperapp.info/privacy.html,1
6,com.cheerioworld.nevermet,Nevermet - VR Dating Metaverse,Nevermet,Dating,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.cheerioworld.nevermet,https://www.nevermet.io/privacy,1
7,com.appbites.tajmahalphotoframes,Taj Mahal Photo Frames,App Bites,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.appbites.tajmahalphotoframes,https://kirakapps.com/privacy_policy.html,1
8,com.awtar.mob.app,دردشة أوتار - Awtar Chat‎,FP SOUTH,Dating,10K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.awtar.mob.app,https://www.awtar.tech/Privacy_policyEn.php,1
9,makstyle.preweddingphotoframe,Prewedding Photo Editor : Phot,Stylish Photo Apps,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=makstyle.preweddingphotoframe,https://makstyleappsprivacy.blogspot.com/2020/11/privacy-policy.html,1
10,com.makeupcollections.august.photoframe.sticker.editor,14 August Photo Frame Sticker,Photo Makeup Collections,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.makeupcollections.august.photoframe.sticker.editor,https://sites.google.com/view/photomakercollections,1
