id,ap,an,dev,cat,nod,doa,dsl,ppl,valid
1,com.udates,Once: Perfect Match Dating App,Xeanco Ltd,Dating,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.udates,https://www.getonce.com/policy/?mobile=true,1
2,cornera.touchretouch,Photo Collage Maker Editor,cornero apps,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=cornera.touchretouch,https://corneroapps.blogspot.com/2018/11/cornero-apps-privacy-policy.html,1
3,com.adriangl.pict2cam,Pict2Cam,Adrián García,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.adriangl.pict2cam,http://adriangl.com/project/pict2cam#privacy_policy,1
4,com.multiphotoblender.photomixer,Blend Photo Editor – Effects,White Heart Developer,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.multiphotoblender.photomixer,https://whiteheartdeveloper.blogspot.com/2021/09/white-heart-developer-privacy-policy.html,1
5,com.appbites.wildanimalphotoframes,Wild Animal Photo Frames,App Bites,Photography,10M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.appbites.wildanimalphotoframes,https://kirakapps.com/privacy_policy.html,1
6,com.cuteBaby.BabyPhotos,Baby Photo Nice Baby wallpaper,PalWorld,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.cuteBaby.BabyPhotos,http://divwallpapers.com/privacyBabyPhotos.html,1
7,freeappshouse.mobile.phone.photo.frames.editor,Mobile Phone Photo Frames,Freedom Apps House,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=freeappshouse.mobile.phone.photo.frames.editor,https://docs.google.com/document/d/e/2PACX-1vR-30NJ2cHJZ9BX16jqDVpC4CTmeP0its0UoCyIPMyIIiQiR2p4Dks-_RrRsiDf0cR-ZV6pJkT5bL8B/pub,1
8,com.jaumo.casual,"CSL – Meet, Chat, Pla‪y & Date",Joyride GmbH,Dating,10M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.jaumo.casual,https://www.joyridedating.com/privacy,1
9,com.ster.photo.surgery,Body Plastic Surgery,Hamsoft,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.ster.photo.surgery,https://hamsoftgate.appspot.com/privacy/privacy.html,1
10,com.Family.Photoframee,Family Photo Frame,DevILApps,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.Family.Photoframee,https://sites.google.com/view/devilapps/privacy-poliicies/privacy-policy-family-photo-framee,1
